Polymer Type,Molecule,PDB Path,Monomer Path,RDKit Loadable?,OpenMM Loadable?,OpenFF Loadable?
DNA,122d,cleaned_pdbs/DNA/122d.pdb,polymer_examples/monomer_generation/json_files/122d.json,False,True,True
DNA,130d,cleaned_pdbs/DNA/130d.pdb,polymer_examples/monomer_generation/json_files/130d.json,False,True,True
DNA,133d,cleaned_pdbs/DNA/133d.pdb,polymer_examples/monomer_generation/json_files/133d.json,False,True,True
DNA,144d,cleaned_pdbs/DNA/144d.pdb,polymer_examples/monomer_generation/json_files/144d.json,False,True,True
RNA,2q1r,cleaned_pdbs/RNA/2q1r.pdb,polymer_examples/monomer_generation/json_files/2q1r.json,False,True,True
crosslinked_polymers,vulcanizedrubber,cleaned_pdbs/crosslinked_polymers/vulcanizedrubber.pdb,polymer_examples/monomer_generation/json_files/vulcanizedrubber.json,True,True,True
peptoids,Nspe5_gaff-phi_top6pops,cleaned_pdbs/peptoids/Nspe5_gaff-phi_top6pops.pdb,polymer_examples/monomer_generation/json_files/Nspe5_gaff-phi_top6pops.json,True,True,True
peptoids,c8sc04240c1,cleaned_pdbs/peptoids/c8sc04240c1.pdb,,False,False,False
peptoids,c8sc04240c3,cleaned_pdbs/peptoids/c8sc04240c3.pdb,,True,True,False
peptoids,ja7b02319_si_002,cleaned_pdbs/peptoids/ja7b02319_si_002.pdb,polymer_examples/monomer_generation/json_files/ja7b02319_si_002.json,True,True,True
peptoids,ja7b02319_si_003,cleaned_pdbs/peptoids/ja7b02319_si_003.pdb,polymer_examples/monomer_generation/json_files/ja7b02319_si_003.json,True,True,True
peptoids,ja9b10497_si_005,cleaned_pdbs/peptoids/ja9b10497_si_005.pdb,,False,True,False
proteins,1lyd,cleaned_pdbs/proteins/1lyd.pdb,polymer_examples/monomer_generation/json_files/1lyd.json,True,True,True
proteins,6cww,cleaned_pdbs/proteins/6cww.pdb,polymer_examples/monomer_generation/json_files/6cww.json,True,True,True
proteins,6mtg,cleaned_pdbs/proteins/6mtg.pdb,polymer_examples/monomer_generation/json_files/6mtg.json,False,True,True
proteins,7fse,cleaned_pdbs/proteins/7fse.pdb,polymer_examples/monomer_generation/json_files/7fse.json,True,True,True
proteins,7ond,cleaned_pdbs/proteins/7ond.pdb,,False,True,False
proteins,7pvu,cleaned_pdbs/proteins/7pvu.pdb,polymer_examples/monomer_generation/json_files/7pvu.json,True,True,True
proteins,7q4j,cleaned_pdbs/proteins/7q4j.pdb,,True,True,False
proteins,7qt2,cleaned_pdbs/proteins/7qt2.pdb,polymer_examples/monomer_generation/json_files/7qt2.json,True,True,True
proteins,7wcc,cleaned_pdbs/proteins/7wcc.pdb,polymer_examples/monomer_generation/json_files/7wcc.json,True,True,True
proteins,7xjf,cleaned_pdbs/proteins/7xjf.pdb,polymer_examples/monomer_generation/json_files/7xjf.json,True,True,True
proteins,7yb4,cleaned_pdbs/proteins/7yb4.pdb,polymer_examples/monomer_generation/json_files/7yb4.json,True,True,True
proteins,8bhw,cleaned_pdbs/proteins/8bhw.pdb,polymer_examples/monomer_generation/json_files/8bhw.json,True,True,True
proteins,8ciq,cleaned_pdbs/proteins/8ciq.pdb,polymer_examples/monomer_generation/json_files/8ciq.json,True,True,True
proteins,8d1b,cleaned_pdbs/proteins/8d1b.pdb,polymer_examples/monomer_generation/json_files/8d1b.json,True,True,True
proteins,8e8i,cleaned_pdbs/proteins/8e8i.pdb,polymer_examples/monomer_generation/json_files/8e8i.json,True,True,True
proteins,8f0x,cleaned_pdbs/proteins/8f0x.pdb,polymer_examples/monomer_generation/json_files/8f0x.json,True,True,True
proteins,8fy3,cleaned_pdbs/proteins/8fy3.pdb,polymer_examples/monomer_generation/json_files/8fy3.json,True,True,True
proteins,8gt9,cleaned_pdbs/proteins/8gt9.pdb,polymer_examples/monomer_generation/json_files/8gt9.json,False,True,True
proteins,8ovp,cleaned_pdbs/proteins/8ovp.pdb,polymer_examples/monomer_generation/json_files/8ovp.json,True,True,True
simple_polymers,PAMAM,cleaned_pdbs/simple_polymers/PAMAM.pdb,polymer_examples/monomer_generation/json_files/PAMAM.json,True,True,True
simple_polymers,PEO_PLGA,cleaned_pdbs/simple_polymers/PEO_PLGA.pdb,polymer_examples/monomer_generation/json_files/PEO_PLGA.json,True,True,True
simple_polymers,PET,cleaned_pdbs/simple_polymers/PET.pdb,polymer_examples/monomer_generation/json_files/PET.json,True,True,True
simple_polymers,PolyphenyleneIII,cleaned_pdbs/simple_polymers/PolyphenyleneIII.pdb,polymer_examples/monomer_generation/json_files/PolyphenyleneIII.json,True,True,True
simple_polymers,atactic_styrene,cleaned_pdbs/simple_polymers/atactic_styrene.pdb,polymer_examples/monomer_generation/json_files/atactic_styrene.json,True,True,True
simple_polymers,bisphenolA,cleaned_pdbs/simple_polymers/bisphenolA.pdb,polymer_examples/monomer_generation/json_files/bisphenolA.json,True,True,True
simple_polymers,naturalrubber,cleaned_pdbs/simple_polymers/naturalrubber.pdb,polymer_examples/monomer_generation/json_files/naturalrubber.json,True,True,True
simple_polymers,paam_modified,cleaned_pdbs/simple_polymers/paam_modified.pdb,polymer_examples/monomer_generation/json_files/paam_modified.json,True,True,True
simple_polymers,peg_modified,cleaned_pdbs/simple_polymers/peg_modified.pdb,polymer_examples/monomer_generation/json_files/peg_modified.json,True,True,True
simple_polymers,pnipam_modified,cleaned_pdbs/simple_polymers/pnipam_modified.pdb,polymer_examples/monomer_generation/json_files/pnipam_modified.json,True,True,True
simple_polymers,polyethylene,cleaned_pdbs/simple_polymers/polyethylene.pdb,polymer_examples/monomer_generation/json_files/polyethylene.json,True,True,True
simple_polymers,polyethylmethacrylate,cleaned_pdbs/simple_polymers/polyethylmethacrylate.pdb,polymer_examples/monomer_generation/json_files/polyethylmethacrylate.json,True,True,True
simple_polymers,polymethylketone,cleaned_pdbs/simple_polymers/polymethylketone.pdb,polymer_examples/monomer_generation/json_files/polymethylketone.json,True,True,True
simple_polymers,polyphenyleneI,cleaned_pdbs/simple_polymers/polyphenyleneI.pdb,polymer_examples/monomer_generation/json_files/polyphenyleneI.json,True,True,True
simple_polymers,polyphenyleneII,cleaned_pdbs/simple_polymers/polyphenyleneII.pdb,polymer_examples/monomer_generation/json_files/polyphenyleneII.json,True,True,True
simple_polymers,polyphenylenesulfone,cleaned_pdbs/simple_polymers/polyphenylenesulfone.pdb,polymer_examples/monomer_generation/json_files/polyphenylenesulfone.json,True,True,True
simple_polymers,polypyrrole,cleaned_pdbs/simple_polymers/polypyrrole.pdb,,True,True,False
simple_polymers,polythiophene,cleaned_pdbs/simple_polymers/polythiophene.pdb,polymer_examples/monomer_generation/json_files/polythiophene.json,True,True,True
simple_polymers,polyvinylchloride,cleaned_pdbs/simple_polymers/polyvinylchloride.pdb,polymer_examples/monomer_generation/json_files/polyvinylchloride.json,True,True,True
simple_polymers,syntactic_styrene,cleaned_pdbs/simple_polymers/syntactic_styrene.pdb,polymer_examples/monomer_generation/json_files/syntactic_styrene.json,True,True,True
sugars,cellulose,cleaned_pdbs/sugars/cellulose.pdb,polymer_examples/monomer_generation/json_files/cellulose.json,True,True,True
sugars,chitin,cleaned_pdbs/sugars/chitin.pdb,polymer_examples/monomer_generation/json_files/chitin.json,True,True,True
sugars,dextran,cleaned_pdbs/sugars/dextran.pdb,polymer_examples/monomer_generation/json_files/dextran.json,True,True,True
sugars,messy_sugar,cleaned_pdbs/sugars/messy_sugar.pdb,polymer_examples/monomer_generation/json_files/messy_sugar.json,True,True,True
sugars,trimannose,cleaned_pdbs/sugars/trimannose.pdb,polymer_examples/monomer_generation/json_files/trimannose.json,True,True,True
